Channel_Name,Label,Type,Group
Quadrant A Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 0.3 m Below Ceiling,0.3 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 0.6 m Below Ceiling,0.6 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 0.9 m Below Ceiling,0.9 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 1.2 m Below Ceiling,1.2 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 1.5 m Below Ceiling,1.5 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 1.8 m Below Ceiling,1.8 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant A Temperature 2.1 m Below Ceiling,2.1 m Below Ceiling,Temperature,Quadrant_A_Temperature
Quadrant B Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 0.3 m Below Ceiling,0.3 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 0.6 m Below Ceiling,0.6 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 0.9 m Below Ceiling,0.9 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 1.2 m Below Ceiling,1.2 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 1.5 m Below Ceiling,1.5 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 1.8 m Below Ceiling,1.8 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant B Temperature 2.1 m Below Ceiling,2.1 m Below Ceiling,Temperature,Quadrant_B_Temperature
Quadrant C Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 0.3 m Below Ceiling,0.3 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 0.6 m Below Ceiling,0.6 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 0.9 m Below Ceiling,0.9 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 1.2 m Below Ceiling,1.2 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 1.5 m Below Ceiling,1.5 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 1.8 m Below Ceiling,1.8 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant C Temperature 2.1 m Below Ceiling,2.1 m Below Ceiling,Temperature,Quadrant_C_Temperature
Quadrant D Temperature 25 mm Below Ceiling,25 mm Below Ceiling,Temperature,Quadrant_D_Temperature
