Time,Timestamp,Elapsed Time,Heat Release Rate,Doorway Temperature 0.75 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-04 10:01:59,00:00:01,0.0,8.58,7.35,16.18,14.52,13.4,11.31,11.23,10.35,10.23,15.62,14.02,12.64,11.55,11.08,10.42,10.31,9.69,16.45,14.78,13.64,13.6,12.02,11.16,10.93,16.68,14.93,13.33,11.97,11.83,11.7,10.61,9.4,12.57,11.21,9.36,7.34,7.57,12.94,10.03,0.29,0.25,0.34,0.16,0.22,0.09,-0.23,-0.18,-0.19,-0.21,1.6,1.95,-0.1,0.32,0.82,0.08,20.95,20.95,20.96,20.98,20.95,20.96,20.95,20.95
-119,2018-12-04 10:02:00,00:00:02,0.0,8.41,7.22,16.11,14.6,13.44,11.42,11.2,10.24,10.19,15.62,13.91,12.68,11.55,11.08,10.42,10.2,9.81,16.14,14.82,13.56,13.33,11.9,11.05,10.86,16.61,14.86,13.26,11.86,11.83,11.74,10.58,9.25,12.56,11.19,9.81,7.25,7.22,12.78,10.02,0.31,0.31,-0.36,0.19,0.12,-0.46,0.18,-0.01,0.03,0.04,-0.01,0.48,-0.1,2.23,-2.06,0.08,20.94,20.96,20.95,20.98,20.95,20.96,20.94,20.96
-118,2018-12-04 10:02:01,00:00:03,0.0,8.57,7.15,16.26,14.6,13.41,11.39,11.2,10.36,10.2,15.7,13.84,12.73,11.59,11.05,10.35,10.2,9.7,16.19,14.9,13.57,13.34,11.87,10.94,10.98,16.5,14.86,13.42,12.01,11.76,11.52,10.47,9.41,12.52,11.31,9.66,7.29,7.22,12.97,10.02,0.27,-0.44,0.28,0.19,0.28,-0.18,0.18,0.0,0.05,0.04,-3.24,-1.0,-0.9,0.32,-0.14,0.08,20.93,20.95,20.96,20.98,20.95,20.95,20.95,20.96
-117,2018-12-04 10:02:02,00:00:04,0.0,8.76,7.3,16.07,14.52,13.37,11.46,11.13,10.28,10.24,15.66,13.95,12.8,11.55,10.93,10.31,10.32,9.78,16.26,14.78,13.65,13.34,11.98,10.9,10.94,16.42,14.86,13.26,12.01,11.57,11.55,10.62,9.48,12.44,11.16,9.66,7.33,7.18,12.89,10.14,0.34,0.18,-0.34,0.19,-0.28,0.25,0.29,0.04,0.04,0.02,-1.63,1.95,-0.1,2.23,-0.14,0.08,20.96,20.95,20.94,20.97,20.95,20.95,20.95,20.94
-116,2018-12-04 10:02:03,00:00:05,0.0,8.57,7.22,16.18,14.37,13.17,11.53,11.16,10.27,10.23,15.62,13.91,12.91,11.55,10.93,10.16,10.24,9.77,16.3,14.85,13.6,13.33,11.9,10.85,10.89,16.45,14.78,13.3,11.97,11.75,11.66,10.65,9.21,12.4,11.16,9.96,7.44,7.37,12.89,10.02,0.31,-0.18,-0.34,0.33,0.24,0.29,0.34,0.02,0.01,0.17,-0.01,0.48,1.5,-1.59,1.78,0.08,20.94,20.96,20.95,20.9,20.95,20.95,20.95,20.96
-115,2018-12-04 10:02:04,00:00:06,0.0,8.63,7.21,15.91,14.36,13.09,11.33,11.15,10.26,10.3,15.53,14.01,12.94,11.69,10.72,10.11,10.07,9.64,16.21,15.0,13.63,13.28,12.01,11.0,10.85,16.59,14.81,13.32,12.11,11.7,11.73,10.72,9.35,12.4,11.19,10.19,7.32,7.25,12.89,9.98,0.2,0.2,-0.34,0.12,0.22,-0.29,0.38,0.06,-0.02,0.03,-0.01,1.95,0.7,0.32,-2.06,0.08,20.94,20.96,20.96,20.98,20.95,20.94,20.95,20.96
-114,2018-12-04 10:02:05,00:00:07,0.0,8.71,7.36,16.07,14.33,13.06,11.43,11.13,10.28,10.39,15.59,13.91,12.99,11.7,10.78,10.24,9.97,9.7,16.26,14.9,13.68,13.38,12.14,10.97,10.75,16.5,14.86,13.3,12.05,11.84,11.75,10.77,9.1,12.4,11.27,10.11,7.4,7.14,12.96,10.06,0.29,-0.15,0.35,0.3,0.3,0.14,-0.18,0.02,-0.02,0.02,3.22,0.48,-0.1,0.32,-0.14,1.73,20.95,20.96,20.96,20.94,20.95,20.95,20.95,20.94
-113,2018-12-04 10:02:06,00:00:08,0.0,8.75,7.37,16.03,14.33,13.1,11.38,11.08,10.31,10.39,15.62,13.98,12.99,11.89,10.81,10.31,10.01,9.62,16.33,14.89,13.79,13.22,12.06,10.93,10.74,16.57,14.82,13.45,12.05,11.75,11.66,10.77,9.13,12.29,11.27,9.85,7.52,7.26,12.82,9.91,0.27,-0.11,0.39,0.19,-0.22,0.17,0.2,0.14,0.09,0.04,-1.63,0.48,-0.9,0.32,0.82,3.38,20.94,20.96,20.96,20.98,20.95,20.94,20.95,20.94
-112,2018-12-04 10:02:07,00:00:09,0.0,9.03,7.41,16.03,14.32,12.98,11.49,11.08,10.27,10.38,15.69,13.9,12.91,11.73,10.81,10.34,9.96,9.57,16.18,14.81,13.71,13.33,12.13,10.93,10.89,16.6,14.89,13.33,11.85,11.56,11.54,10.91,9.13,12.32,11.23,9.69,7.4,7.21,12.7,9.94,0.25,-0.41,0.35,0.22,-0.35,-0.23,0.29,-0.07,0.02,-0.06,-0.01,-1.0,-0.1,0.32,-1.1,0.08,20.96,20.97,20.94,20.96,20.95,20.96,20.94,20.96
-111,2018-12-04 10:02:08,00:00:10,0.0,9.33,7.71,16.02,14.2,13.01,11.41,11.03,10.26,10.41,15.57,13.86,12.94,11.73,10.76,10.3,10.0,9.61,16.17,14.84,13.67,13.32,11.97,10.88,10.77,16.56,14.73,13.13,11.96,11.67,11.69,11.1,9.27,12.36,11.42,9.65,7.4,7.29,12.85,9.9,0.31,-0.36,-0.33,0.24,0.19,-0.15,0.1,-0.04,-0.05,0.04,1.6,-2.48,-0.9,0.32,-0.14,1.73,20.95,20.98,20.94,20.97,20.95,20.96,20.95,20.95
