Time,Timestamp,Elapsed Time,Heat Release Rate,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 0.75 m Below Lintel,Quadrant C Temperature 0.6 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-06 12:00:01,00:00:01,0.0,18.19,13.31,12.05,11.06,10.44,9.92,9.72,8.72,18.04,13.96,12.29,10.75,10.56,10.26,9.23,9.03,18.68,14.9,11.81,11.24,10.57,8.52,7.96,19.36,14.56,12.8,11.05,10.47,10.67,9.18,6.7,10.68,5.54,4.52,4.53,4.61,13.2,11.18,10.14,8.23,12.19,0.39,0.31,0.13,-0.39,-0.37,0.03,-0.26,0.59,0.67,0.06,0.15,0.07,-0.55,0.89,-0.22,-0.45,-0.07,-0.78,20.93,20.94,20.95,20.9,20.96,20.96,20.94,20.94
-119,2018-12-06 12:00:02,00:00:02,0.0,18.19,13.46,12.16,11.02,10.51,9.96,9.68,8.61,18.04,14.04,12.37,10.64,10.56,10.03,9.3,8.87,18.71,14.83,11.61,11.05,10.22,8.21,7.81,19.36,14.59,12.69,11.12,10.47,10.75,9.1,7.0,10.4,5.49,4.48,4.33,4.52,13.19,11.4,10.14,8.15,12.07,0.39,0.31,-0.19,-0.33,-0.23,-0.3,-0.42,0.59,0.69,0.08,0.18,0.13,1.07,0.89,0.58,-0.45,-0.07,-0.78,20.94,20.95,20.95,20.92,20.96,20.95,20.96,20.95
-118,2018-12-06 12:00:03,00:00:03,0.0,18.2,13.4,12.36,11.15,10.45,10.05,9.81,8.5,18.01,13.94,12.45,10.76,10.49,10.16,9.35,8.92,18.61,14.76,11.55,10.87,10.27,8.42,7.71,19.26,14.42,12.77,11.17,10.52,10.72,9.08,6.9,9.8,5.43,4.57,4.57,4.46,16.1,14.77,12.36,10.34,14.02,0.32,0.27,-0.31,-0.33,-0.4,0.15,-0.14,0.57,0.7,0.34,0.32,0.28,-0.55,0.89,0.58,-2.36,-1.03,-0.78,20.95,20.93,20.95,20.91,20.96,20.96,20.95,20.95
-117,2018-12-06 12:00:04,00:00:04,0.0,18.11,13.38,12.31,11.01,10.32,9.99,9.71,8.49,18.07,13.96,12.36,10.82,10.55,10.14,9.37,8.87,18.59,14.86,11.69,11.04,10.14,8.36,7.69,19.28,14.47,12.76,11.19,10.62,10.66,9.21,7.23,10.6,5.46,4.41,4.53,4.57,13.2,11.3,10.1,8.19,12.0,0.3,-0.1,-0.19,-0.35,-0.32,0.27,-0.09,0.55,0.66,0.22,0.22,0.14,1.07,-0.75,0.58,-2.36,-0.07,0.7,20.93,20.96,20.94,20.97,20.96,20.95,20.95,20.95
-116,2018-12-06 12:00:05,00:00:05,0.0,18.18,13.34,12.19,11.01,10.39,10.03,9.83,8.56,18.03,13.88,12.4,10.94,10.51,10.22,9.37,8.75,18.59,14.82,11.61,10.93,10.1,8.28,7.73,19.24,14.51,12.83,11.04,10.65,10.62,9.33,7.46,10.14,5.42,4.55,4.41,4.68,13.11,11.6,12.12,11.28,15.58,0.3,0.32,-0.42,-0.33,-0.41,0.1,-0.14,0.52,0.69,-0.07,0.06,0.08,-2.16,-0.75,0.58,-4.27,-0.07,0.7,20.95,20.95,20.96,20.93,20.97,20.94,20.94,20.94
-115,2018-12-06 12:00:06,00:00:06,0.0,18.15,13.42,12.19,11.01,10.51,9.99,9.71,8.53,18.26,13.88,12.13,10.94,10.66,10.1,9.53,8.72,18.48,14.75,11.53,11.0,10.1,8.4,7.73,19.24,14.44,12.72,11.19,10.62,10.7,9.29,7.38,9.99,5.31,4.6,4.3,4.41,15.29,13.59,11.4,9.19,12.99,0.28,0.29,-0.31,-0.36,-0.27,-0.2,0.04,0.57,0.68,0.18,0.24,0.15,-0.55,-0.75,0.58,3.37,-1.03,-0.78,20.95,20.95,20.95,20.93,20.95,20.95,20.95,20.95
-114,2018-12-06 12:00:07,00:00:07,0.0,18.15,13.46,12.19,10.94,10.24,10.03,9.71,8.56,18.22,13.88,12.17,10.9,10.63,10.1,9.49,8.91,18.52,14.67,11.46,11.04,10.14,8.32,7.88,19.16,14.63,12.76,11.12,10.12,10.36,9.02,7.0,9.87,5.42,4.44,4.68,4.61,13.23,11.45,9.91,7.66,11.5,0.36,-0.15,-0.37,-0.45,-0.41,0.2,0.04,0.56,0.66,-0.04,0.04,0.02,-0.55,0.89,-0.22,1.46,-1.03,-0.78,20.96,20.93,20.94,20.93,20.95,20.95,20.95,20.95
-113,2018-12-06 12:00:08,00:00:08,0.0,18.18,13.53,12.26,10.82,10.27,9.95,9.52,8.56,18.22,13.84,12.16,10.78,10.58,10.1,9.41,8.82,18.47,14.32,11.11,10.62,9.91,8.24,7.72,18.93,14.24,12.41,10.92,10.27,10.5,9.21,7.18,9.91,5.45,4.48,4.6,4.64,11.7,9.26,8.34,6.23,10.54,0.32,-0.2,-0.36,-0.33,-0.15,-0.34,-0.24,0.54,0.69,0.19,0.25,0.18,-0.55,0.89,0.58,-0.45,0.89,-0.78,20.95,20.94,20.96,20.93,20.94,20.95,20.95,20.94
-112,2018-12-06 12:00:09,00:00:09,0.0,18.3,13.42,12.2,10.79,10.24,9.96,9.57,8.65,18.42,14.08,12.25,10.87,10.48,10.15,9.42,8.76,18.56,14.33,11.42,10.97,10.07,8.48,7.77,19.02,14.44,12.49,11.31,10.51,10.67,9.45,7.31,10.21,5.53,4.36,4.72,4.52,12.5,10.26,9.45,7.38,11.68,0.24,-0.31,-0.39,-0.46,-0.29,-0.29,-0.28,0.51,0.7,-0.15,-0.1,-0.23,-0.55,0.89,0.58,-2.36,-1.99,-0.78,20.96,20.95,20.95,20.94,20.96,20.95,20.95,20.94
-111,2018-12-06 12:00:10,00:00:10,0.0,18.34,13.42,12.19,10.94,10.01,9.88,9.45,8.56,18.3,14.11,12.21,10.82,10.47,10.14,9.49,8.87,18.56,14.44,11.46,11.12,10.29,8.82,8.07,19.32,14.82,12.87,11.46,10.96,10.97,9.71,7.19,10.14,5.53,4.21,4.75,4.56,13.53,10.6,9.72,7.46,11.8,0.24,-0.31,-0.4,-0.46,-0.29,-0.36,-0.14,0.51,0.66,0.12,0.2,0.05,-2.16,-0.75,-0.22,-0.45,-0.07,-0.78,20.96,20.94,20.94,20.97,20.96,20.94,20.95,20.95
