Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 0.75 m Below Lintel,Quadrant C Temperature 0.6 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-03 15:22:15,00:00:00,19.38,15.08,13.7,12.41,11.67,11.27,10.77,10.53,19.04,15.73,14.06,13.02,12.25,11.27,10.58,10.68,19.33,15.91,13.54,12.47,11.99,11.09,9.62,19.56,16.17,13.73,12.55,11.74,11.33,9.92,8.39,12.17,8.22,7.44,7.4,7.21,15.26,13.93,12.86,11.44,15.09,-0.1,-0.36,-0.1,-0.41,-0.31,-0.27,-0.24,0.31,0.31,-0.18,-0.2,-0.21,-0.23,1.42,0.74,-1.88,1.06,-0.75,20.95,20.95,20.96,20.94,20.96,20.95,20.95
-119,2018-12-03 15:22:16,00:00:01,19.46,15.12,13.71,12.49,11.6,11.2,10.7,10.65,19.05,15.58,13.95,12.98,12.1,11.39,10.54,10.69,19.0,15.65,13.16,11.98,11.46,10.64,9.09,19.19,15.72,13.16,11.94,11.18,10.46,9.39,7.9,12.21,8.15,7.02,7.07,6.91,14.92,13.82,11.6,9.81,13.65,-0.17,-0.26,-0.31,-0.27,-0.06,-0.28,-0.09,0.29,0.37,0.03,0.19,0.31,1.38,-0.22,0.74,0.03,-0.86,0.73,20.96,20.95,20.97,20.96,20.96,20.96,20.94
-118,2018-12-03 15:22:17,00:00:02,19.34,15.15,13.81,12.45,11.67,11.12,10.73,10.57,18.59,15.46,13.83,12.9,12.25,11.42,10.39,10.49,18.08,14.92,12.54,11.48,11.08,10.21,8.59,18.73,15.26,12.81,11.78,10.9,10.03,9.31,8.05,12.13,7.99,6.75,6.52,6.56,13.43,13.02,10.34,8.73,12.61,-0.1,-0.22,-0.2,-0.36,0.13,-0.39,0.05,0.35,0.33,0.21,0.2,0.15,-1.85,-0.22,-0.06,0.03,1.06,0.73,20.95,20.95,20.96,20.94,20.95,20.95,20.96
-117,2018-12-03 15:22:18,00:00:03,19.34,15.22,13.69,12.17,11.63,11.0,10.76,10.45,18.66,15.04,13.82,12.86,12.13,11.38,10.3,10.41,18.11,14.84,12.58,11.78,11.38,10.63,9.31,19.29,15.82,13.46,12.35,11.51,10.75,9.95,8.81,12.11,7.92,6.6,6.31,6.38,13.71,12.72,10.58,9.09,12.97,0.21,0.3,-0.32,-0.41,-0.4,0.15,0.05,0.17,0.15,0.03,-0.04,-0.01,1.38,1.42,-0.06,-1.88,0.1,-0.75,20.94,20.95,20.96,20.93,20.95,20.96,20.95
-116,2018-12-03 15:22:19,00:00:04,19.31,15.12,13.7,12.33,11.6,11.12,10.77,10.53,18.78,14.85,13.94,12.75,12.1,11.38,10.39,10.3,18.8,15.41,12.96,12.21,11.73,10.71,9.74,19.83,16.17,14.03,12.85,12.16,11.6,10.61,9.58,12.26,7.92,6.49,6.5,6.27,14.01,12.99,10.84,9.47,13.19,-0.2,-0.38,-0.23,-0.26,-0.28,-0.24,-0.26,-0.18,0.04,-0.23,-0.14,0.04,1.38,-0.22,-0.86,0.03,0.1,-0.75,20.95,20.96,20.95,20.98,20.96,20.95,20.94
-115,2018-12-03 15:22:20,00:00:05,19.34,15.11,13.58,12.17,11.36,11.0,10.76,10.45,18.73,14.62,13.79,12.63,12.17,11.38,10.3,10.33,19.41,16.02,13.65,12.89,12.29,11.47,10.53,20.32,16.74,14.45,13.27,12.31,11.63,10.72,9.57,12.13,7.84,6.78,6.6,6.49,14.15,13.17,10.95,9.69,13.26,-0.23,-0.12,-0.41,-0.15,-0.39,-0.28,0.11,-0.28,-0.23,0.07,-0.09,0.21,1.38,1.42,-0.86,-1.88,1.06,-0.75,20.94,20.97,20.96,20.94,20.97,20.95,20.95
-114,2018-12-03 15:22:21,00:00:06,19.38,15.03,13.66,12.25,11.51,11.0,10.88,10.68,19.0,14.96,13.94,12.94,12.13,11.57,10.38,10.56,19.18,15.83,13.45,12.35,11.84,11.2,9.77,19.67,16.16,13.91,12.85,11.81,11.14,10.18,9.19,12.06,8.22,7.44,7.45,7.41,14.96,13.63,12.1,10.99,14.9,-0.14,-0.12,-0.18,-0.39,-0.3,-0.35,-0.09,0.38,0.56,0.03,-0.08,-0.06,1.38,3.07,-0.86,0.03,0.1,0.73,20.95,20.93,20.97,20.97,20.96,20.95,20.95
-113,2018-12-03 15:22:22,00:00:07,19.2,15.08,13.63,12.3,11.52,11.13,10.85,10.58,18.97,14.78,13.95,12.79,12.03,11.01,10.16,10.27,18.77,15.53,13.08,12.44,11.81,11.06,10.01,19.95,16.44,14.27,13.16,12.24,11.72,10.81,9.81,12.02,7.95,6.4,6.49,6.33,14.04,13.4,10.76,9.3,13.37,-0.31,-0.16,-0.23,-0.34,0.08,-0.43,0.15,-0.28,-0.17,-0.05,-0.08,0.03,-0.23,-0.22,0.74,1.94,-0.86,-0.75,20.95,20.96,20.94,20.95,20.95,20.96,20.95
-112,2018-12-03 15:22:23,00:00:08,19.3,15.0,13.62,12.33,11.44,11.0,10.8,10.41,18.88,14.62,13.94,12.59,12.02,10.88,10.15,10.22,19.37,16.13,13.68,12.81,12.37,11.51,10.53,20.32,16.62,14.52,13.27,12.35,11.78,10.72,9.77,12.06,7.88,6.75,6.6,6.45,14.3,13.17,10.83,9.69,13.22,-0.1,-0.3,-0.41,-0.39,-0.34,-0.09,0.05,-0.31,-0.34,-0.05,-0.01,-0.13,1.38,1.42,-0.06,0.03,-0.86,-2.23,20.95,20.96,20.94,20.94,20.96,20.96,20.95
-111,2018-12-03 15:22:24,00:00:09,19.27,14.93,13.59,12.15,11.49,11.09,10.77,10.42,18.78,14.63,13.87,12.79,11.84,10.82,10.16,10.23,19.64,16.45,13.62,12.82,12.19,11.4,10.43,20.21,16.56,14.46,13.01,12.32,11.68,10.69,9.81,12.1,7.96,6.87,6.91,6.84,14.23,13.44,10.88,9.65,13.34,-0.17,-0.38,-0.41,-0.42,-0.06,0.05,0.27,-0.36,-0.41,-0.05,-0.11,-0.13,-1.85,-0.22,-0.06,-1.88,0.1,-2.23,20.95,20.94,20.95,20.98,20.97,20.96,20.94
