Time,Timestamp,Elapsed Time,Doorway Temperature 0.75 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-122,2018-12-06 11:30:59,00:00:00,10.21,5.88,18.91,15.04,13.24,11.98,11.57,10.72,9.72,19.15,14.2,12.52,12.03,11.29,10.83,10.83,9.34,19.74,15.98,13.93,13.44,12.35,11.38,10.35,19.67,15.91,13.55,12.72,11.93,11.69,10.56,8.43,12.25,11.99,8.32,7.74,6.79,15.28,19.07,16.93,9.94,-0.34,0.53,-0.15,0.41,0.28,0.31,0.1,-0.48,-0.61,0.02,0.01,-0.06,-1.99,0.26,0.63,2.36,-1.36,-1.47,20.94,20.94,20.94,21.0,20.95,20.94,20.94,20.96
-121,2018-12-06 11:31:00,00:00:01,10.16,6.1,19.03,14.94,13.17,12.07,11.61,10.62,9.81,19.12,14.21,12.53,12.16,11.31,10.69,10.81,9.23,20.17,17.48,16.61,16.61,15.64,14.37,12.46,21.32,17.18,14.74,13.69,13.32,13.11,12.22,9.86,12.44,11.84,8.51,6.98,6.03,12.77,15.31,9.19,6.96,-0.23,0.4,-0.27,0.2,0.19,0.33,-0.03,-0.45,-0.6,0.0,-0.05,-0.1,1.24,1.74,0.63,-1.46,0.56,3.47,20.95,20.95,20.95,20.93,20.95,20.95,20.97,20.95
-120,2018-12-06 11:31:01,00:00:02,9.68,5.46,19.01,14.95,13.26,12.12,11.63,10.59,9.9,19.02,14.15,12.28,11.87,10.98,10.63,10.59,9.17,20.15,16.35,14.49,14.0,12.83,11.79,10.37,20.12,16.05,13.73,12.56,11.84,11.33,10.32,8.0,12.51,11.8,8.23,6.05,5.1,11.92,14.88,10.36,7.68,-0.27,-0.45,0.23,0.14,-0.13,0.25,0.2,-0.43,-0.58,0.04,-0.05,0.03,-0.38,0.26,-0.98,0.45,-0.4,-1.47,20.94,20.93,20.95,20.94,20.95,20.96,20.97,20.96
-119,2018-12-06 11:31:02,00:00:03,8.94,6.37,18.99,14.81,13.05,12.13,11.49,10.6,9.72,19.03,14.31,12.48,11.99,11.22,10.79,10.8,9.26,18.19,14.15,12.18,12.02,11.01,10.23,8.86,18.76,14.73,12.48,11.42,10.79,10.58,9.76,7.7,12.33,11.66,8.21,6.15,5.43,11.67,14.74,11.06,7.58,-0.33,0.49,-0.1,0.2,-0.13,-0.09,0.14,-0.38,-0.53,-0.02,-0.06,-0.06,-1.99,0.26,-0.98,4.27,-0.4,0.18,20.94,20.94,20.95,20.94,20.94,20.96,20.97,20.94
-118,2018-12-06 11:31:03,00:00:04,11.08,8.59,19.02,14.77,13.08,11.83,11.26,10.38,9.8,19.03,14.54,12.78,12.3,11.33,10.91,10.87,9.26,18.6,15.11,13.25,12.86,11.66,10.69,9.35,19.56,15.38,13.28,11.81,11.66,11.38,10.45,8.32,12.24,11.6,8.46,6.43,5.6,11.73,15.03,11.54,7.91,-0.27,-0.2,0.37,-0.27,0.16,0.23,-0.15,-0.35,-0.47,-0.11,-0.05,-0.16,1.24,0.26,-0.17,-1.46,0.56,0.18,20.96,20.96,20.95,20.91,20.95,20.96,20.95,20.95
-117,2018-12-06 11:31:04,00:00:05,11.15,8.59,19.06,14.92,13.16,11.9,11.48,10.48,9.83,19.07,14.35,12.78,12.14,11.33,10.75,10.75,9.26,19.17,15.41,13.58,13.05,12.04,10.84,9.42,19.63,15.68,13.35,12.11,11.66,11.38,10.17,8.04,12.32,11.65,8.32,6.48,5.53,12.08,15.23,11.82,7.99,-0.31,-0.24,0.25,-0.21,0.12,-0.33,0.17,-0.29,-0.47,0.02,0.04,-0.02,-3.61,0.26,-0.17,-1.46,0.56,0.18,20.95,20.95,20.95,20.94,20.94,20.95,20.94,20.95
-116,2018-12-06 11:31:05,00:00:06,9.97,7.79,19.09,15.0,13.19,11.75,11.33,10.6,9.79,19.07,14.46,12.78,12.14,11.21,10.71,10.71,9.33,19.24,15.56,13.66,13.16,12.11,11.1,9.42,19.48,15.48,13.32,11.99,11.66,11.53,10.1,8.16,12.37,11.62,8.32,6.41,5.73,12.28,15.39,12.09,8.15,-0.21,0.19,-0.46,-0.35,-0.36,-0.35,-0.03,-0.34,-0.43,-0.11,-0.14,-0.14,2.85,0.26,-0.17,2.36,0.56,-1.47,20.94,20.93,20.96,20.97,20.95,20.97,20.94,20.94
-115,2018-12-06 11:31:06,00:00:07,9.93,7.74,19.14,15.15,13.2,11.83,11.41,10.41,9.84,19.19,14.31,12.78,11.99,11.26,10.64,10.76,9.3,19.33,15.6,13.74,13.28,12.12,11.22,9.51,19.6,15.49,13.47,12.03,11.78,11.42,10.03,8.28,12.24,11.57,8.27,6.55,5.75,12.15,15.26,12.19,8.29,-0.27,-0.13,0.23,-0.29,-0.22,-0.22,-0.15,-0.32,-0.38,-0.12,-0.08,-0.07,-0.38,-1.22,0.63,-1.46,-1.36,0.18,20.96,20.96,20.96,20.97,20.94,20.97,20.95,20.95
-114,2018-12-06 11:31:07,00:00:08,9.74,7.52,19.21,15.19,13.19,11.94,11.29,10.45,9.87,18.99,14.19,12.74,12.02,11.17,10.71,10.71,9.41,19.4,15.67,13.93,13.35,12.23,11.29,9.69,19.52,15.52,13.35,12.07,11.74,11.53,10.1,8.16,12.2,11.64,8.39,6.55,5.83,12.08,15.34,12.23,8.25,-0.02,-0.41,-0.47,-0.27,-0.16,-0.3,-0.38,-0.18,-0.33,0.08,0.01,0.19,1.24,0.26,0.63,-1.46,-0.4,0.18,20.95,20.96,20.96,20.99,20.94,20.96,20.94,20.95
-113,2018-12-06 11:31:08,00:00:09,9.62,7.59,19.36,15.23,13.04,11.78,11.22,10.41,9.91,19.07,13.96,12.97,12.06,11.14,10.67,10.64,9.45,19.4,15.6,13.81,13.28,12.19,11.22,9.65,19.59,15.52,13.32,11.91,11.81,11.45,10.21,8.35,12.24,11.75,8.3,6.54,5.75,12.15,15.56,12.53,8.36,-0.02,-0.35,-0.1,-0.42,-0.08,-0.36,-0.31,-0.2,-0.26,0.07,0.04,0.16,2.85,0.26,-0.17,0.45,-2.32,-1.47,20.95,20.96,20.96,20.96,20.95,20.96,20.93,20.95
