Time,Timestamp,Elapsed Time,Heat Release Rate,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 0.75 m Below Lintel,Quadrant C Temperature 0.6 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-04 19:27:02,00:00:01,0.0,27.0,20.15,17.63,16.15,14.92,14.87,14.1,13.52,27.49,22.05,19.74,17.86,16.34,14.94,13.68,12.3,27.25,22.45,18.31,16.64,15.82,13.58,12.15,27.75,22.18,19.03,17.13,15.64,14.7,12.49,10.93,17.08,11.99,9.11,10.76,10.07,24.55,18.68,15.59,14.22,19.23,-0.42,-0.56,-0.19,0.08,-0.11,0.2,-0.19,-0.53,-0.52,0.06,-0.12,-0.12,0.29,-0.82,-0.52,1.0,-0.11,0.13,20.95,20.95,20.97,20.99,20.96,20.95,20.95,20.95
-119,2018-12-04 19:27:03,00:00:02,0.0,27.15,20.37,17.56,16.19,15.08,14.91,14.02,13.29,27.42,22.16,19.77,17.98,16.38,14.98,13.56,12.41,27.22,22.49,18.27,16.71,15.74,13.39,12.15,27.78,22.26,19.07,17.24,15.64,14.81,12.68,11.12,17.14,11.98,8.98,11.05,10.14,24.76,18.56,15.58,14.21,19.29,-0.21,-0.52,-0.13,-0.21,0.34,-0.24,0.24,-0.51,-0.53,0.06,0.02,0.04,-1.33,-0.82,0.28,1.0,-0.11,0.13,20.96,20.95,20.95,20.91,20.95,20.96,20.95,20.95
-118,2018-12-04 19:27:04,00:00:03,0.0,27.15,20.53,17.67,16.19,15.11,15.02,14.17,13.33,27.42,22.01,19.81,18.02,16.53,15.02,13.41,12.41,27.18,22.45,18.19,16.6,15.74,13.35,12.19,27.82,22.22,19.03,17.21,15.68,14.93,12.45,10.73,17.07,12.1,9.22,10.79,10.03,24.66,18.68,15.59,14.29,19.26,-0.11,-0.6,0.12,-0.12,0.09,0.17,0.3,-0.55,-0.61,0.03,-0.01,0.06,0.29,0.82,0.28,1.0,-1.07,-1.35,20.95,20.96,20.95,20.94,20.95,20.95,20.95,20.95
-117,2018-12-04 19:27:05,00:00:04,0.0,27.15,20.25,17.55,16.19,15.03,15.05,13.98,13.36,27.41,22.0,19.81,17.97,16.45,14.9,13.18,12.56,27.21,22.56,18.22,16.71,15.7,13.39,11.95,27.82,22.29,19.02,17.12,15.67,14.92,12.41,10.35,17.07,12.14,9.29,10.91,10.07,24.69,18.52,15.55,14.52,19.22,-0.28,-0.6,-0.19,0.17,-0.18,0.3,0.26,-0.5,-0.52,0.05,-0.05,0.0,0.29,2.47,-0.52,-0.91,-1.07,0.13,20.94,20.95,20.94,20.97,20.95,20.96,20.96,20.95
-116,2018-12-04 19:27:06,00:00:05,0.0,27.26,19.95,17.7,16.41,15.11,15.05,13.75,13.44,27.41,21.96,19.88,18.05,16.37,15.01,13.18,12.56,27.21,22.48,18.3,16.56,15.62,13.43,12.11,27.93,22.36,19.1,17.09,15.75,14.92,12.64,10.19,16.69,12.29,9.4,10.98,10.25,24.65,18.63,15.54,14.4,19.06,-0.38,-0.59,-0.17,-0.33,-0.27,0.28,0.3,-0.45,-0.56,-0.02,-0.08,-0.03,0.29,4.12,0.28,-0.91,-0.11,-1.35,20.95,20.96,20.95,20.95,20.95,20.95,20.96,20.95
-115,2018-12-04 19:27:07,00:00:06,0.0,27.27,19.81,17.68,16.46,15.04,14.87,13.64,13.41,27.31,21.98,19.86,18.06,16.46,14.95,13.19,12.42,27.15,22.46,18.27,16.68,15.75,13.67,12.04,27.98,22.53,19.15,17.1,15.61,15.05,12.61,10.05,16.85,12.45,9.18,10.64,10.22,24.62,18.61,15.63,14.64,19.04,-0.35,-0.61,-0.19,-0.12,-0.18,0.3,0.19,-0.49,-0.52,-0.07,-0.08,-0.02,0.29,-0.82,0.28,2.91,0.84,0.13,20.96,20.96,20.96,20.97,20.95,20.95,20.96,20.95
-114,2018-12-04 19:27:08,00:00:07,0.0,27.3,20.18,17.74,16.45,14.96,14.98,13.71,13.29,27.3,22.0,19.85,18.09,16.52,14.97,13.33,12.52,27.06,22.41,18.34,16.48,15.51,13.65,12.18,27.89,22.36,19.06,16.97,15.6,15.11,12.56,10.08,16.89,12.45,9.38,10.8,10.19,24.93,18.68,15.59,14.56,19.0,-0.31,-0.77,-0.17,0.22,0.27,-0.19,0.13,-0.37,-0.57,-0.01,-0.11,-0.19,0.29,-0.82,1.88,1.0,0.84,-1.35,20.95,20.94,20.97,20.95,20.95,20.95,20.97,20.96
-113,2018-12-04 19:27:09,00:00:08,0.0,27.41,20.49,17.86,16.53,14.96,14.91,13.71,13.21,27.38,22.01,19.85,18.05,16.64,15.21,13.41,12.34,27.14,22.3,18.34,16.64,15.47,13.62,12.11,27.82,22.48,19.22,17.02,15.68,15.12,12.6,10.12,17.07,12.37,9.45,10.87,10.22,24.69,18.37,12.69,11.28,15.91,-0.3,-0.74,-0.16,0.35,0.41,-0.16,0.26,-0.45,-0.59,0.04,0.03,-0.08,0.29,-0.82,-0.52,1.0,-1.07,1.6,20.96,20.95,20.97,20.95,20.96,20.94,20.97,20.94
-112,2018-12-04 19:27:10,00:00:09,0.0,27.34,20.61,17.94,16.58,14.97,14.91,13.76,13.22,27.31,22.05,19.82,18.14,16.69,15.17,13.53,12.38,27.18,22.3,18.46,16.64,15.44,13.51,12.2,27.98,22.53,19.26,16.91,15.72,15.28,12.88,10.36,16.89,12.57,9.34,10.91,10.19,23.56,15.87,13.5,12.58,17.02,-0.15,-0.65,0.32,0.39,-0.15,0.26,0.28,-0.51,-0.57,-0.02,-0.23,0.09,-1.33,2.47,0.28,-0.91,0.84,-2.83,20.96,20.95,20.96,20.93,20.96,20.96,20.97,20.95
-111,2018-12-04 19:27:11,00:00:10,0.0,27.38,20.45,18.01,16.65,14.92,14.95,13.75,13.1,27.38,21.97,19.77,18.09,16.68,15.13,13.64,12.53,27.1,22.3,18.46,16.56,15.47,13.58,12.08,28.01,22.52,19.11,16.9,15.64,15.35,13.1,10.66,16.92,12.45,9.33,10.83,10.18,23.56,16.93,14.29,13.34,18.04,0.2,-0.67,0.28,0.28,0.35,-0.19,-0.07,-0.52,-0.55,-0.13,-0.2,-0.1,1.9,-0.82,0.28,4.83,-0.11,0.13,20.95,20.96,20.95,20.99,20.95,20.95,20.96,20.95
-110,2018-12-04 19:27:12,00:00:11,0.0,27.22,20.48,18.0,16.52,14.95,14.86,13.86,13.01,27.44,22.03,19.69,18.0,16.75,14.97,13.32,12.59,27.13,22.21,18.48,16.51,15.42,13.46,11.99,27.96,22.59,19.1,16.78,15.75,15.3,13.16,10.84,17.23,12.41,9.49,11.03,10.22,23.6,17.39,15.59,14.37,18.73,0.14,-0.43,0.28,0.32,0.29,0.35,0.07,-0.36,-0.58,-0.38,-0.39,-0.11,0.29,0.82,1.08,4.83,-0.11,1.6,20.96,20.95,20.95,20.96,20.95,20.94,20.95,20.95
-109,2018-12-04 19:27:13,00:00:12,0.0,27.04,20.45,17.86,16.53,15.08,14.75,13.56,13.1,27.3,22.01,19.77,17.94,16.57,14.79,13.14,12.68,27.1,22.22,18.57,16.49,15.24,13.51,11.92,27.75,22.56,19.03,16.86,15.76,15.27,13.25,10.66,16.89,12.57,9.41,11.06,10.3,24.7,18.38,15.48,14.33,18.77,-0.11,-0.59,-0.19,-0.19,0.34,0.13,0.19,-0.46,-0.58,-0.08,-0.12,-0.01,0.29,-0.82,-0.52,2.91,0.84,0.13,20.94,20.96,20.95,20.97,20.95,20.96,20.96,20.96
-108,2018-12-04 19:27:14,00:00:13,0.0,27.04,20.37,17.82,16.88,14.96,14.75,13.6,12.99,27.45,22.01,19.93,18.02,16.68,14.79,12.95,12.64,27.06,22.22,18.57,16.64,15.24,13.62,11.92,27.78,22.71,19.07,16.79,15.68,15.31,13.33,10.93,16.84,12.63,9.63,10.9,10.25,24.95,18.25,15.51,14.32,18.72,-0.42,-0.73,0.07,0.17,0.25,-0.12,-0.12,-0.49,-0.56,-0.08,-0.12,-0.03,-1.33,0.82,0.28,-2.82,-0.11,1.6,20.96,20.95,20.95,20.95,20.95,20.96,20.95,20.95
-107,2018-12-04 19:27:15,00:00:14,0.0,27.12,20.0,17.68,16.77,15.05,14.77,13.69,12.96,27.54,22.09,19.75,17.95,16.58,14.87,13.08,12.58,27.11,22.27,18.58,16.61,15.45,13.67,11.93,27.83,22.61,19.08,16.84,15.77,15.4,13.34,11.13,16.96,12.6,9.45,10.91,10.37,24.66,18.3,13.15,11.16,15.57,-0.35,-0.82,0.16,-0.12,0.39,-0.06,0.16,-0.45,-0.58,-0.02,-0.15,-0.04,0.29,2.47,-2.13,-2.82,-0.11,-1.35,20.96,20.94,20.96,20.95,20.95,20.94,20.96,20.96
-106,2018-12-04 19:27:16,00:00:15,0.0,27.23,20.3,17.56,16.76,15.0,14.64,13.71,12.91,27.42,22.01,19.77,17.98,16.57,14.86,13.14,12.56,27.06,22.22,18.61,16.6,15.4,13.58,11.85,27.78,22.56,19.07,16.71,15.64,15.46,13.44,11.12,16.93,12.53,9.49,10.83,10.42,22.13,15.83,13.8,12.43,17.06,-0.35,-0.73,0.4,-0.21,-0.18,0.2,0.13,-0.52,-0.61,-0.04,-0.16,0.07,-1.33,-0.82,0.28,1.0,0.84,-1.35,20.94,20.96,20.95,20.94,20.95,20.95,20.95,20.94
-105,2018-12-04 19:27:17,00:00:16,0.0,27.38,20.49,17.45,16.69,15.04,14.68,13.64,12.91,27.42,22.05,19.74,17.98,16.61,14.91,13.07,12.34,26.96,22.3,18.73,16.6,15.48,13.59,11.81,27.79,22.49,19.15,16.76,15.69,15.39,13.6,10.93,17.12,12.64,9.38,10.99,10.34,22.96,16.36,14.3,13.38,18.28,-0.3,-0.68,0.26,0.08,-0.36,0.36,0.16,-0.49,-0.55,0.08,0.04,0.11,-1.33,-0.82,0.28,1.0,-0.11,-1.35,20.95,20.96,20.95,20.95,20.96,20.94,20.96,20.95
