Time,Timestamp,Elapsed Time,Heat Release Rate,Doorway Temperature 0.75 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-04 16:07:01,00:00:01,0.0,11.4,8.91,24.81,17.89,14.68,13.08,12.62,11.4,10.94,25.36,18.22,16.4,14.77,13.5,12.43,11.47,10.36,24.2,19.21,16.17,15.83,14.44,12.7,11.14,23.99,19.17,15.94,14.27,13.49,13.32,10.63,8.92,14.57,13.44,10.34,7.01,6.79,17.83,18.84,14.98,11.81,0.24,0.49,0.33,0.18,0.37,0.36,0.27,0.38,0.53,0.02,0.08,0.04,0.97,-1.3,1.15,-0.0,0.4,-1.76,20.94,20.94,20.95,20.97,20.94,20.95,20.94,20.94
-119,2018-12-04 16:07:02,00:00:02,0.0,11.33,8.87,24.93,18.3,14.71,12.93,12.62,11.24,10.82,25.2,18.26,16.32,14.77,13.46,12.39,11.55,10.44,24.51,19.43,16.32,15.86,14.59,12.82,11.14,24.1,19.02,15.94,14.31,13.68,13.4,10.82,9.03,14.73,13.63,10.5,7.13,6.87,16.35,17.63,14.68,11.2,0.43,-0.15,-0.38,0.15,0.23,0.33,0.33,0.43,0.57,-0.02,0.01,-0.03,-0.64,0.18,1.15,-0.0,0.4,-0.11,20.94,20.95,20.95,20.94,20.95,20.95,20.94,20.94
-118,2018-12-04 16:07:03,00:00:03,0.0,11.09,8.6,24.92,18.49,14.9,12.92,12.5,11.09,10.78,25.24,18.33,16.28,14.76,13.49,12.53,11.58,10.51,24.27,19.39,16.09,15.86,14.43,12.81,11.29,24.02,18.82,15.98,14.15,13.71,13.28,10.78,8.84,14.83,13.43,10.52,7.12,6.74,17.52,18.68,15.17,11.92,0.34,0.37,-0.09,0.33,0.27,0.4,0.38,0.35,0.54,0.04,0.03,0.14,-2.26,0.18,0.35,1.91,-0.56,-0.11,20.94,20.94,20.94,20.96,20.95,20.95,20.94,20.95
-117,2018-12-04 16:07:04,00:00:04,0.0,11.28,9.14,24.97,18.58,14.83,12.97,12.44,10.98,10.79,25.29,18.46,16.25,14.81,13.54,12.51,11.67,10.4,24.29,19.44,16.14,15.72,14.44,12.67,11.34,23.95,18.64,16.03,14.09,13.42,13.17,10.25,8.39,14.68,13.28,10.11,6.97,6.79,17.56,18.35,13.49,9.78,0.32,0.1,0.47,0.36,0.34,0.37,-0.13,0.36,0.47,0.04,0.1,0.06,0.97,0.18,-0.46,-0.0,-1.52,-0.11,20.94,20.94,20.95,20.97,20.96,20.95,20.95,20.93
-116,2018-12-04 16:07:05,00:00:05,0.0,11.33,8.99,24.78,18.42,14.83,12.93,12.44,10.87,10.75,25.21,18.42,16.29,14.81,13.51,12.47,11.48,10.52,23.87,18.95,15.57,15.3,13.87,12.33,10.95,23.46,18.03,15.22,13.17,12.46,11.99,8.76,6.74,14.58,13.06,9.85,6.75,6.72,15.63,16.68,12.89,7.88,0.37,0.37,0.23,0.49,0.47,0.3,0.27,0.26,0.4,-0.02,0.01,0.08,0.97,0.18,0.35,-0.0,0.4,-0.11,20.95,20.94,20.94,20.94,20.95,20.95,20.95,20.93
-115,2018-12-04 16:07:06,00:00:06,0.0,11.59,9.37,24.81,18.3,14.75,12.81,12.36,10.94,10.59,25.39,18.6,16.4,15.07,13.38,12.43,11.51,10.4,22.27,17.38,14.15,14.0,12.8,11.67,10.49,23.08,17.72,15.03,13.09,12.65,12.44,9.63,7.73,14.8,13.28,10.45,7.35,6.98,14.1,15.8,13.34,7.11,0.27,-0.11,0.31,0.53,0.34,0.33,0.26,0.26,0.3,0.1,0.14,0.07,0.97,1.65,-0.46,-0.0,1.36,1.53,20.94,20.94,20.94,20.97,20.95,20.94,20.94,20.94
-114,2018-12-04 16:07:07,00:00:07,0.0,12.66,10.51,24.69,18.22,14.9,12.77,12.24,11.01,10.66,25.27,18.75,16.24,14.84,13.07,12.27,11.47,10.24,23.71,19.09,15.9,15.74,14.55,13.08,11.86,24.13,18.9,16.17,14.54,13.98,13.85,11.35,9.33,15.14,13.55,10.72,7.51,6.9,14.14,16.18,13.42,8.48,-0.19,0.38,0.37,0.4,0.14,0.5,0.38,0.24,0.22,0.02,-0.06,-0.05,-0.64,0.18,-0.46,1.91,-0.56,-0.11,20.95,20.94,20.94,20.91,20.95,20.94,20.95,20.94
-113,2018-12-04 16:07:08,00:00:08,0.0,10.9,9.1,24.74,18.49,14.98,12.85,12.28,11.02,10.63,25.09,18.38,15.83,14.61,12.81,12.2,11.36,10.09,24.77,19.97,16.71,16.28,14.93,13.28,11.87,24.02,18.68,16.13,14.46,13.98,13.82,11.43,9.3,15.17,13.36,10.26,7.12,6.82,15.54,17.39,13.98,9.05,-0.28,0.25,0.48,0.42,0.1,0.34,0.4,-0.17,-0.12,0.06,0.0,-0.05,-0.64,-1.3,-0.46,-0.0,-0.56,-1.76,20.94,20.95,20.95,20.96,20.95,20.93,20.94,20.93
-112,2018-12-04 16:07:09,00:00:09,0.0,10.41,8.8,24.69,18.45,15.01,12.73,12.24,10.97,10.59,25.09,18.41,15.97,14.65,12.81,12.04,11.47,10.09,24.65,19.77,16.62,16.24,14.85,13.35,11.78,24.06,18.9,16.24,14.73,13.9,13.73,11.65,9.56,14.99,10.92,8.08,6.89,6.75,15.89,17.36,13.87,9.13,-0.41,0.2,0.42,0.4,0.14,0.44,0.46,-0.3,-0.3,0.04,-0.09,0.03,0.97,0.18,-0.46,-0.0,1.36,-0.11,20.96,20.94,20.95,20.97,20.96,20.95,20.94,20.94
-111,2018-12-04 16:07:10,00:00:10,0.0,10.51,8.33,24.54,18.26,15.17,12.65,12.16,10.86,10.55,25.16,18.45,15.9,14.72,12.77,12.04,11.39,9.97,24.5,19.69,16.43,16.13,14.81,13.27,11.82,24.02,18.71,16.13,14.61,13.86,13.47,11.54,9.68,14.98,10.3,6.54,7.27,6.85,15.84,17.35,13.71,9.35,-0.45,0.32,0.5,0.38,0.29,0.47,0.46,-0.25,-0.3,-0.06,0.02,-0.13,0.97,-1.3,-1.26,-1.91,-0.56,-1.76,20.96,20.94,20.95,20.94,20.95,20.95,20.95,20.95
