Time,Timestamp,Elapsed Time,Doorway Temperature 0.75 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-04 18:43:30,00:00:00,24.15,21.76,32.87,31.84,27.46,22.63,20.81,19.67,18.64,33.3,30.25,28.41,26.38,23.08,20.73,18.72,17.15,31.82,30.81,27.7,26.45,24.54,20.47,17.89,31.87,30.51,27.02,23.55,21.93,21.42,17.65,15.18,28.52,27.4,23.16,17.54,12.75,28.54,31.01,23.41,15.85,0.22,0.31,-0.38,-0.09,0.41,-0.32,0.37,-0.44,-0.51,-0.01,-0.08,-0.11,-2.04,-2.47,-0.28,-0.03,-1.52,-0.14,20.96,20.96,20.95,20.94,20.96,20.95,20.94,20.96
-119,2018-12-04 18:43:31,00:00:01,24.69,22.15,32.96,31.69,27.39,22.63,20.66,19.67,18.53,33.2,30.37,28.38,26.31,23.2,20.77,18.68,17.24,31.71,30.82,27.59,26.3,24.28,20.52,17.63,31.69,30.48,27.02,23.82,21.94,21.43,18.03,15.42,28.41,27.28,22.97,17.62,12.79,28.35,30.9,23.11,15.89,-0.39,-0.42,0.41,0.16,0.4,0.48,0.4,-0.49,-0.59,0.01,-0.11,-0.1,2.8,1.97,-0.28,-0.03,0.4,-0.14,20.96,20.96,20.95,20.94,20.94,20.95,20.95,20.96
-118,2018-12-04 18:43:32,00:00:02,24.87,21.8,32.92,31.73,27.32,22.59,20.59,19.45,18.3,33.2,30.26,28.34,26.27,22.98,20.69,18.64,17.16,31.49,30.59,27.4,26.19,24.02,20.44,17.63,31.87,30.44,27.06,23.59,21.75,21.35,17.77,15.15,28.44,27.13,23.01,17.43,12.52,28.09,30.86,22.84,15.97,-0.33,0.42,-0.36,0.12,0.38,0.28,0.36,-0.45,-0.55,0.04,-0.01,-0.04,-2.04,1.97,1.33,1.88,0.4,1.51,20.97,20.96,20.95,20.97,20.96,20.96,20.95,20.94
-117,2018-12-04 18:43:33,00:00:03,23.13,20.21,32.99,31.58,27.09,22.59,20.59,19.26,18.11,33.16,30.26,28.31,26.01,22.9,20.66,18.83,17.35,30.4,29.5,26.31,25.13,23.0,19.61,17.06,31.54,30.29,26.99,23.7,21.83,21.24,17.31,14.84,28.45,27.06,22.79,17.32,12.37,28.13,30.75,22.28,15.51,-0.39,-0.28,0.46,0.24,0.38,0.26,0.4,-0.48,-0.64,0.12,0.0,0.12,-0.42,0.49,0.52,3.79,0.4,-0.14,20.96,20.95,20.95,20.96,20.96,20.96,20.95,20.97
-116,2018-12-04 18:43:34,00:00:04,21.96,19.23,32.95,31.01,26.78,22.63,20.58,19.29,18.07,33.12,30.33,27.96,25.66,22.48,20.46,18.68,17.27,31.33,29.76,26.27,24.98,22.76,19.41,16.79,31.12,29.83,26.15,23.17,21.14,20.59,16.16,13.73,28.41,27.14,22.56,17.21,12.22,28.13,30.49,22.32,15.06,-0.23,0.39,0.11,0.26,0.45,0.42,0.15,-0.48,-0.61,-0.02,-0.05,0.03,-0.42,0.49,0.52,1.88,-0.56,-1.79,20.96,20.96,20.94,20.98,20.96,20.95,20.93,20.95
-115,2018-12-04 18:43:35,00:00:05,20.82,18.05,32.95,31.09,26.67,22.44,20.58,19.14,18.11,33.19,30.18,27.85,25.55,22.25,20.39,18.64,17.38,32.61,31.41,27.93,26.64,24.24,20.02,17.17,31.12,29.76,25.85,22.98,20.95,20.59,16.7,13.85,28.37,27.1,22.41,16.83,12.03,28.13,30.49,21.9,15.02,-0.25,0.47,0.53,0.24,0.28,-0.2,0.45,-0.45,-0.6,-0.03,-0.04,0.07,2.8,0.49,-1.08,-1.94,-0.56,-0.14,20.96,20.96,20.94,20.95,20.95,20.95,20.96,20.98
-114,2018-12-04 18:43:36,00:00:06,23.07,19.8,32.84,31.09,26.49,22.33,20.47,19.37,18.3,33.2,30.03,27.7,25.25,21.84,20.05,18.72,17.39,32.88,31.53,28.12,26.98,24.66,20.63,18.35,32.25,31.08,26.95,23.85,21.98,21.32,17.31,14.43,28.26,27.25,22.37,17.09,11.99,28.01,30.3,21.56,14.75,-0.27,0.54,0.49,0.32,0.45,0.19,0.15,-0.48,-0.65,0.0,-0.02,0.06,1.19,0.49,0.52,-0.03,0.4,-0.14,20.96,20.95,20.95,20.96,20.95,20.95,20.94,20.96
-113,2018-12-04 18:43:37,00:00:07,23.25,19.8,32.95,31.05,26.89,22.25,20.28,19.06,18.07,33.23,30.25,28.04,25.06,21.72,20.01,18.72,17.42,34.78,33.18,29.66,28.56,26.13,21.95,19.6,33.14,31.68,27.55,24.15,22.24,21.58,17.72,15.37,28.22,27.25,23.02,17.7,12.6,28.43,30.87,20.92,14.37,-0.34,0.15,0.45,0.28,0.58,0.22,0.34,-0.49,-0.66,-0.1,-0.1,-0.12,-0.42,-0.99,0.52,3.79,-0.56,-1.79,20.97,20.97,20.95,20.97,20.94,20.96,20.95,20.96
-112,2018-12-04 18:43:38,00:00:08,23.32,19.41,33.02,31.13,26.97,21.98,20.09,18.98,17.96,33.19,30.29,28.11,25.36,21.87,20.12,18.94,17.46,32.27,31.3,28.94,28.97,26.88,22.86,20.47,33.74,32.24,28.08,25.4,23.3,22.83,19.28,16.48,27.96,27.25,23.24,17.93,12.76,29.37,31.58,20.95,13.61,-0.33,0.18,0.42,0.3,0.66,0.35,0.36,-0.54,-0.67,-0.04,-0.13,-0.05,-2.04,1.97,-1.08,-1.94,-0.56,-0.14,20.96,20.95,20.95,20.95,20.96,20.95,20.95,20.97
-111,2018-12-04 18:43:39,00:00:09,23.53,19.05,32.96,31.17,27.01,21.61,20.09,18.99,17.81,33.2,30.22,28.08,25.25,21.84,20.05,18.91,17.62,32.28,30.89,27.44,26.15,23.79,19.64,17.74,31.95,30.74,26.5,23.89,22.17,22.49,19.97,17.7,27.81,27.25,23.43,18.61,13.14,30.05,33.01,25.69,13.04,-0.44,0.59,0.41,0.4,0.58,0.42,0.41,-0.49,-0.68,-0.04,0.01,-0.0,1.19,0.49,0.52,1.88,1.36,1.51,20.96,20.96,20.95,20.97,20.96,20.94,20.95,20.96
